order_fav	animacy	order
0	1	0.16
0	0	0.115384615
0	1	0.115384615
0	0	0.054545455
0	1	0.526315789
0	0	0.611111111
1	1	2.411764706
1	0	2.411764706
1	1	1.416666667
1	1	4.8
1	1	1.52173913
1	0	2.222222222
1	1	2.866666667
1	0	0.487179487
0	1	0.705882353
1	1	1
0	1	0.380952381
1	1	0.348837209
0	1	0.705882353
1	1	1.9
0	1	0.16
1	1	8.666666667
0	1	0.45
0	1	1.071428571
